nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-09-30 23:40:00,100,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-09-30 23:40:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-09-30 23:40:00,5300,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-09-30 23:40:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-09-30 23:40:00,220,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-09-30 23:40:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-09-30 23:40:00,1500,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-09-30 23:40:00,1700,Status : Siaga 3
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-09-30 23:40:00,-1950,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-09-30 23:40:00,450,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-09-30 23:40:00,300,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-09-04 23:00:00,-560,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-09-30 23:40:00,420,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-09-30 23:40:00,3320,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-09-30 23:40:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-09-30 23:40:00,400,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-09-30 23:00:32,1800,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-09-30 23:40:00,1750,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-09-30 23:40:00,1540,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-09-30 23:40:00,1690,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-09-30 00:00:00,1200,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-10-01 00:10:00,100,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-10-01 00:10:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-10-01 00:10:00,5300,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-10-01 00:10:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-10-01 00:10:00,220,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-10-01 00:10:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-10-01 00:10:00,1500,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-10-01 00:10:00,1680,Status : Normal
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-10-01 00:10:00,-1960,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-10-01 00:10:00,460,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-10-01 00:10:00,300,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-09-04 23:00:00,-560,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-10-01 00:10:00,420,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-10-01 00:10:00,3320,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-10-01 00:10:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-10-01 00:10:00,400,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-10-01 00:10:00,1830,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-10-01 00:10:00,1750,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-10-01 00:10:00,1530,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-10-01 00:10:00,1690,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-10-01 00:10:00,1200,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-10-01 00:40:00,100,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-10-01 00:40:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-10-01 00:40:00,5300,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-10-01 00:40:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-10-01 00:40:00,220,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-10-01 00:40:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-10-01 00:40:00,1440,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-10-01 00:40:00,1680,Status : Normal
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-10-01 00:40:00,-1960,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-10-01 00:40:00,450,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-10-01 00:40:00,300,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-09-04 23:00:00,-560,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-10-01 00:30:00,420,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-10-01 00:40:00,3320,Status : Normal
