nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-07-01 00:40:00,1520,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-07-01 00:40:00,1870,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-06-30 12:37:46,1400,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-07-01 01:10:00,60,Status : Normal
PS. Depok,Ciliwung,-6.40042,106.831524,2019-07-01 00:10:15,800,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-07-01 00:11:17,5600,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-07-01 00:12:30,300,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-07-01 01:10:00,280,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-07-01 01:10:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-06-30 22:12:02,2150,Status : Siaga 2
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-07-01 01:10:00,200,Status : Normal
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-07-01 01:10:00,-2300,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,2019-06-30 18:10:19,500,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-07-01 01:10:00,180,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-07-01 01:10:00,370,Status : Normal
PS. Sunter Hulu,Sunter,,,2019-06-30 22:32:28,500,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-07-01 01:10:00,4580,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-07-01 01:10:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-06-30 21:25:33,600,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-07-01 00:12:53,1800,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-07-01 01:10:00,2650,Status : Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-07-01 01:10:00,1500,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-07-01 01:10:00,1880,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-06-30 12:37:46,1400,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-07-01 01:40:00,60,Status : Normal
PS. Depok,Ciliwung,-6.40042,106.831524,2019-07-01 01:07:28,800,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-07-01 01:06:18,5600,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-07-01 01:07:02,300,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-07-01 01:40:00,290,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-07-01 01:40:00,2400,Status : Normal
