nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-08-01 02:20:00,-560,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-07-31 23:03:32,500,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-08-01 02:10:00,3310,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-08-01 02:20:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-07-31 23:06:00,550,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-08-01 01:08:25,300,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-08-01 01:40:00,2510,Status : Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-08-01 02:20:00,1620,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-08-01 02:20:00,1910,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-07-30 06:00:25,1200,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-08-01 02:40:00,-80,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-08-01 02:40:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-08-01 01:09:24,5500,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-08-01 02:40:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-08-01 02:40:00,90,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-08-01 02:40:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-08-01 00:18:55,2000,Status : Siaga 2
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-08-01 02:40:00,1750,Status : Siaga 3
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-08-01 02:40:00,-1930,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-08-01 00:19:30,500,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-08-01 02:40:00,300,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-08-01 02:40:00,-330,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-07-31 23:03:32,500,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-08-01 02:40:00,3310,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-08-01 02:40:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-07-31 23:06:00,550,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-08-01 01:08:25,300,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-08-01 01:40:00,2510,Status : Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-08-01 02:40:00,1620,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-08-01 02:40:00,1920,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-07-30 06:00:25,1200,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-08-01 03:20:00,-80,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-08-01 03:20:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-08-01 03:10:20,5500,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-08-01 03:10:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-08-01 03:20:00,90,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-08-01 03:20:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-08-01 03:10:07,1850,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-08-01 03:20:00,1620,Status : Normal
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-08-01 03:20:00,-1940,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-08-01 00:19:30,500,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-08-01 03:20:00,300,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-08-01 03:20:00,-570,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-07-31 23:03:32,500,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-08-01 03:20:00,3310,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-08-01 03:20:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-07-31 23:06:00,550,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-08-01 03:12:49,300,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-08-01 03:20:00,2510,Status : Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-08-01 03:20:00,1620,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-08-01 03:20:00,1800,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-07-30 06:00:25,1200,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-08-01 03:50:00,-80,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-08-01 03:50:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-08-01 03:10:20,5500,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-08-01 03:50:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-08-01 03:50:00,90,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-08-01 03:50:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-08-01 03:10:07,1850,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-08-01 03:50:00,1580,Status : Normal
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-08-01 03:50:00,-1940,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-08-01 00:19:30,500,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-08-01 03:50:00,300,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-08-01 03:50:00,-310,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-07-31 23:03:32,500,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-08-01 03:50:00,3310,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-08-01 03:50:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-07-31 23:06:00,550,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-08-01 03:12:49,300,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-08-01 03:50:00,2510,Status : Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-08-01 03:50:00,1500,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-08-01 03:50:00,1660,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-07-30 06:00:25,1200,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-08-01 04:10:00,-80,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-08-01 04:10:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-08-01 03:10:20,5500,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-08-01 04:10:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-08-01 04:10:00,90,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-08-01 04:10:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-08-01 03:10:07,1850,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-08-01 04:10:00,1530,Status : Normal
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-08-01 04:10:00,-1950,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-08-01 00:19:30,500,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-08-01 04:10:00,300,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-08-01 04:10:00,-560,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-07-31 23:03:32,500,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-08-01 04:10:00,3310,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-08-01 04:10:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-07-31 23:06:00,550,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-08-01 03:12:49,300,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-08-01 04:10:00,2510,Status : Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-08-01 04:10:00,1440,Status : Siaga 3
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-08-01 04:10:00,1640,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-07-30 06:00:25,1200,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-08-01 04:40:00,-70,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-08-01 04:40:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-08-01 04:19:56,5500,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-08-01 04:40:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-08-01 04:40:00,100,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-08-01 04:30:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-08-01 04:21:51,1540,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-08-01 04:40:00,1460,Status : Normal
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-08-01 04:40:00,-1950,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-08-01 00:19:30,500,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-08-01 04:40:00,300,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-08-01 04:40:00,-510,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-07-31 23:03:32,500,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-08-01 04:40:00,3310,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-08-01 04:40:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-07-31 23:06:00,550,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-08-01 04:22:34,1800,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-08-01 04:40:00,2500,Status : Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-08-01 04:40:00,1360,Status : Siaga 3
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-08-01 04:40:00,1570,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-07-30 06:00:25,1200,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-08-01 05:20:00,-80,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-08-01 05:10:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-08-01 04:19:56,5500,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-08-01 05:20:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-08-01 05:20:00,100,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-08-01 05:20:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-08-01 04:21:51,1540,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-08-01 05:20:00,1370,Status : Normal
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-08-01 05:20:00,-1960,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-08-01 00:19:30,500,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-08-01 05:20:00,300,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-08-01 05:20:00,-480,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-07-31 23:03:32,500,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-08-01 05:20:00,3310,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-08-01 05:20:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-07-31 23:06:00,550,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-08-01 04:22:34,1800,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-08-01 05:20:00,2500,Status : Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-08-01 05:20:00,1270,Status : Siaga 3
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-08-01 05:20:00,1480,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-07-30 06:00:25,1200,Status : Siaga 3
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-08-01 05:40:00,-80,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-08-01 05:40:00,750,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-08-01 04:19:56,5500,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-08-01 05:40:00,100,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-08-01 05:40:00,100,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-08-01 05:40:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-08-01 04:21:51,1540,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-08-01 05:40:00,1330,Status : Normal
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-08-01 05:40:00,-1970,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-08-01 00:19:30,500,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-08-01 05:40:00,300,Status : Normal
