nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-04 20:50:00,-1880,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-04 20:50:00,880,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-04 20:50:00,570,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-04 20:50:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-04 20:50:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 20:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-04 20:50:00,1810,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-04 20:50:00,2060,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-04 20:50:00,1920,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-04 20:50:00,2280,Status : Siaga 2
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-04 20:40:00,1640,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-04 21:20:00,300,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-04 21:20:00,250,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-04 21:20:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-04 21:20:00,6110,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-04 21:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-04 21:10:00,70,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-04 21:20:00,3000,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-04 21:20:00,2020,Status : Siaga 2
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-04 21:20:00,2060,Status : Siaga 2
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-04 21:20:00,-1870,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-04 21:20:00,880,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-04 21:20:00,560,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-04 21:20:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-04 21:20:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 20:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-04 21:20:00,1810,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-04 21:20:00,2070,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-04 21:00:00,1920,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-04 21:20:00,2280,Status : Siaga 2
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-04 21:20:00,1590,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-04 21:50:00,320,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-04 21:50:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-04 21:50:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-04 21:50:00,6110,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-04 21:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-04 21:40:00,70,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-04 21:50:00,2970,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-04 21:50:00,1990,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-04 21:50:00,2040,Status : Siaga 2
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-04 21:50:00,-1850,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-04 21:50:00,870,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-04 21:50:00,560,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-04 21:50:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-04 21:40:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 20:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-04 21:50:00,1810,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-04 21:50:00,2080,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-04 21:50:00,1920,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-04 21:50:00,2240,Status : Siaga 2
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-04 21:50:00,1580,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-04 22:20:00,180,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-04 22:20:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-04 22:20:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-04 22:20:00,6100,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-04 22:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-04 22:10:00,70,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-04 22:20:00,2960,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-04 22:20:00,1990,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-04 22:20:00,2030,Status : Siaga 2
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-04 22:20:00,-1870,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-04 22:20:00,860,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-04 22:20:00,550,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-04 22:20:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-04 22:20:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 22:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-04 22:10:00,1810,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-04 22:20:00,2070,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-04 22:20:00,1900,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-04 22:20:00,2240,Status : Siaga 2
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-04 22:20:00,1580,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-04 22:50:00,320,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-04 22:50:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-04 22:50:00,1100,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-04 22:50:00,6100,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-04 22:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-04 22:40:00,60,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-04 22:50:00,2970,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-04 22:50:00,1980,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-04 22:50:00,2050,Status : Siaga 2
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-04 22:40:00,-1870,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-04 22:50:00,850,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-04 22:50:00,540,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-04 22:50:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-04 22:50:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 22:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-04 22:50:00,1810,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-04 22:50:00,2070,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-04 22:50:00,1900,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-04 22:50:00,2230,Status : Siaga 2
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-04 22:50:00,1580,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-04 23:20:00,-20,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-04 23:20:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-04 23:20:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-04 23:20:00,6100,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-04 23:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-04 23:10:00,60,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-04 23:20:00,2960,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-04 23:20:00,1960,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-04 23:20:00,1980,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-04 23:20:00,-1880,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-04 23:20:00,850,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-04 23:20:00,540,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-04 23:20:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-04 23:20:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 23:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-04 23:20:00,1800,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-04 23:20:00,2060,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-04 23:20:00,1900,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-04 23:20:00,2220,Status : Siaga 2
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-04 23:20:00,1580,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-04 23:50:00,170,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-04 23:50:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-04 23:50:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-04 23:50:00,6100,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-04 23:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-04 23:40:00,60,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-04 23:50:00,2940,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-04 23:50:00,1940,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-04 23:50:00,1980,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-04 23:50:00,-1880,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-04 23:50:00,850,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-04 23:50:00,540,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-04 23:50:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-04 23:50:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 23:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-04 23:50:00,1800,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-04 23:50:00,2050,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-04 23:50:00,1870,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-04 23:50:00,2190,Status : Siaga 3
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-04 23:50:00,1570,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-05 00:20:00,170,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-05 00:20:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-05 00:20:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-05 00:20:00,6100,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-05 00:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-05 00:10:00,60,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-05 00:20:00,2930,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-05 00:20:00,1910,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-05 00:20:00,1960,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-05 00:10:00,-1880,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-05 00:20:00,860,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-05 00:20:00,530,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-05 00:20:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-05 00:20:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 23:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-05 00:20:00,1800,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-05 00:20:00,2040,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-05 00:20:00,1850,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-05 00:20:00,2150,Status : Siaga 3
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-05 00:20:00,1570,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-05 00:50:00,290,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-05 00:50:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-05 00:50:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-05 00:50:00,6090,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-05 00:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-05 00:40:00,60,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-05 00:50:00,2920,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-05 00:50:00,1850,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-05 00:50:00,1920,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-05 00:50:00,-1890,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-05 00:50:00,850,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-05 00:50:00,530,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-05 00:50:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-05 00:50:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 23:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-05 00:50:00,1790,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-05 00:50:00,2030,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-05 00:50:00,1830,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-05 00:50:00,2110,Status : Siaga 3
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-05 00:50:00,1570,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-05 01:20:00,260,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-05 01:20:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-05 01:20:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-05 01:20:00,6080,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-05 01:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-05 01:10:00,60,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-05 01:20:00,2940,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-05 01:20:00,1850,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-05 01:20:00,1900,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-05 01:20:00,-1900,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-05 01:20:00,860,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-05 01:20:00,530,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-05 01:20:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-05 01:20:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 23:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-05 01:20:00,1790,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-05 01:20:00,2010,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-05 01:20:00,1790,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-05 01:20:00,2080,Status : Siaga 3
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-05 01:20:00,1560,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-05 01:50:00,260,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-05 01:50:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-05 01:50:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-05 01:50:00,6080,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-05 02:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-05 01:40:00,60,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-05 01:50:00,2900,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-05 01:50:00,1840,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-05 01:50:00,1940,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-05 01:50:00,-1910,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-05 01:50:00,860,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-05 01:40:00,530,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-05 01:50:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-05 01:50:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 23:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-05 01:50:00,1790,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-05 01:50:00,2000,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-05 01:50:00,1790,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-05 01:50:00,2070,Status : Siaga 3
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-05 01:50:00,1560,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-05 02:20:00,190,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-05 02:20:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-05 02:20:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-05 02:20:00,6080,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-05 02:00:00,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-05-05 02:10:00,50,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-05-05 02:20:00,2920,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-05-05 02:20:00,1820,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-05-05 02:20:00,1850,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-05-05 02:20:00,-1920,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-05-05 02:20:00,860,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-05-05 02:20:00,530,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-05-05 02:20:00,670,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-05-05 02:20:00,3260,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-05-04 18:10:00,950,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-05-04 23:00:00,800,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-05-05 02:20:00,1780,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-05-05 02:20:00,1980,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-05-05 02:20:00,1770,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-05-05 02:20:00,2070,Status : Siaga 3
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-05-05 02:20:00,1560,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-05-05 02:50:00,300,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-05-05 02:50:00,240,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-05-05 02:50:00,1090,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-05-05 02:50:00,6070,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-05-05 02:00:00,200,Status : Normal
